s6.new.rev.p2.m2,s4.loc.ic.ins.p1,s8.mbl.p2,s2.rch.val.l67,s7.s4.day.no.mou.p2.p4,s3.new.rev.p3,s8.ic.mou.all.p3,s8.new.rev.p3,s8.rtd.mou.p3,s2.s4.day.no.mou.p3,s4.std.ins.l14,s4.loc.ins.l14,s4.data.ins.l14,s4.std.ic.ins.l14,target
-0.95,3,1.18,34.35,0.5,2.2289999999999965,-0.11,-0.12,-0.1,5.5,0,9,4,0,1
0.34,4,0.6,22.298999999999996,0.222222222,6.05,0.22,0.31,0.3,2.0,3,13,1,1,0
-0.23,3,-4.33,74.33,99.0,3.05,-0.09,-0.2,-0.17,0.0,1,14,12,0,0
-0.52,3,-0.23,22.298999999999996,0.266666667,6.88,-0.02,-0.39,-0.26,2.0,1,11,1,1,0
-0.32,4,-7.0,147.5,0.0,16.9,0.09,-1.06,-1.07,0.0,3,14,1,3,0
-0.42,3,-1.19,147.5,0.333333333,3.5,-0.11,-0.35,-0.29,2.0,0,13,12,0,1
0.15,4,1.31,43.71,99.0,16.82,0.22,0.6,0.6,0.0,6,14,7,3,1
-0.45,1,1.27,65.45,0.263157895,7.34,0.31,-0.2,0.19,4.5,5,9,0,3,1
0.39,4,6.59,147.5,0.0,16.11,0.59,0.85,0.76,0.0,0,14,10,0,0
-0.95,3,0.0,147.5,0.0,2.2289999999999965,0.01,0.0,-1.07,0.0,0,14,0,0,0
0.24,2,6.59,40.0,0.545454546,6.45,-0.08,0.28,0.17,4.5,0,10,3,0,0
-0.68,4,-1.06,57.5,0.0,2.2289999999999965,0.5,-0.14,0.4,0.0,0,11,0,0,1
-0.63,2,-1.12,44.8,1.0,4.27,-0.35,-0.22,-0.13,2.0,0,13,4,0,1
0.22,4,6.59,147.5,0.0,8.68,0.08,0.03,0.02,0.0,2,14,12,2,0
-0.28,4,1.18,54.53,0.333333333,4.58,-0.23,0.01,-0.59,0.0,0,14,12,0,0
-0.72,4,0.0,31.33,0.111111111,12.79,0.04,-0.72,-0.1,3.0,1,14,0,1,0
-0.89,3,3.76,45.0,99.0,4.56,-0.17,-0.68,-1.07,0.0,0,10,1,0,1
0.41,1,-5.01,102.5,0.142857143,5.79,0.04,0.03,0.07,2.0,0,9,1,0,0
0.44,4,0.57,40.0,99.0,14.28,0.56,0.85,0.45,0.0,8,14,11,6,0
-0.95,1,0.0,47.5,0.318181818,2.2289999999999965,0.48,0.0,0.0,5.5,0,9,0,0,1
-0.89,1,0.0,44.0,0.75,17.98,-0.49,-1.06,-1.07,4.0,0,9,0,0,1
-0.42,4,-0.21,22.298999999999996,0.6,5.06,0.05,-0.32,-0.24,2.0,0,14,2,0,0
-0.75,3,-0.37,47.5,0.3,2.2289999999999965,-0.18,-0.12,-0.1,2.5,0,11,0,0,0
0.87,4,-7.0,147.5,0.214285714,7.25,0.54,0.85,0.76,5.5,0,14,9,0,0
-0.95,1,0.0,22.298999999999996,0.318181818,2.2289999999999965,-0.2,-0.02,-0.02,5.5,1,9,0,1,1
0.87,4,1.98,59.17,0.272727273,10.11,-0.72,0.85,0.76,4.0,1,14,2,1,0
0.35,4,0.0,23.23,0.666666667,5.49,0.45,0.22,0.12,3.0,0,14,10,0,0
0.21,1,-3.26,38.13,0.125,2.41,-0.06,0.16,0.18,0.0,1,13,0,0,0
0.87,4,-2.25,66.94,99.0,9.31,0.43,0.58,-0.06,0.0,4,14,11,4,0
0.41,4,0.06,22.298999999999996,1.0,6.87,-0.32,0.2,-0.05,0.0,4,13,0,3,0
-0.15,4,2.99,55.47,99.0,4.14,-0.32,-0.25,-0.46,0.0,7,14,1,6,0
-0.95,1,0.0,33.6,0.304347826,2.2289999999999965,0.0,0.0,0.0,5.5,0,9,0,0,1
-0.4,4,0.0,147.5,0.0,21.32,0.59,-1.06,0.76,0.0,8,14,0,6,0
0.07,3,2.68,72.5,0.5,6.68,0.22,0.29,0.21,0.0,1,13,0,1,0
0.87,2,-7.0,26.2,0.142857143,16.73,0.53,0.61,0.48,2.0,6,9,0,5,0
0.21,3,6.42,60.93,0.5,21.32,0.59,-1.06,-1.07,0.0,9,14,0,6,0
-0.32,4,0.0,143.8,0.0,21.32,0.44,-1.06,0.74,0.0,0,14,3,0,0
-0.08,4,3.85,34.0,99.0,9.38,-0.34,-0.37,-0.29,0.0,0,14,0,0,0
0.29,4,0.0,43.71,99.0,13.04,-0.21,0.85,-0.04,0.0,4,14,9,4,1
0.28,4,0.0,48.8,0.0,17.35,-0.11,0.26,-0.02,0.0,1,14,3,0,0
-0.89,2,-7.0,80.0,0.214285714,2.2289999999999965,-0.03,0.01,0.01,3.5,0,10,0,0,1
-0.95,1,0.0,63.5,1.0,10.86,-0.69,-1.06,-1.07,5.5,2,10,1,1,1
-0.27,4,-7.0,147.5,99.0,11.65,-0.72,-0.06,0.02,0.0,9,14,12,6,0
0.1,4,-6.1,70.0,99.0,10.42,0.42,0.11,-0.07,0.0,4,14,0,4,0
-0.05,3,2.83,64.95,0.5,10.75,0.07,-0.28,-1.07,0.0,0,12,0,0,0
-0.64,4,3.38,50.08,0.5,6.88,0.59,-0.87,-1.07,0.0,0,14,0,0,0
-0.8,2,-1.0,38.75,0.5,15.66,-0.68,-1.06,-1.07,4.0,3,11,0,3,1
0.18,4,-7.0,78.81,0.0,4.69,-0.09,0.05,0.1,0.0,3,14,6,1,0
-0.3,4,0.33,37.1,0.333333333,14.27,0.05,-1.06,-0.84,4.0,0,14,0,0,1
-0.05,4,6.59,123.33,99.0,12.11,0.59,0.71,0.55,0.0,0,14,0,0,0
-0.24,4,-7.0,65.4,99.0,4.73,-0.51,-0.19,0.0,0.0,1,14,0,1,0
0.87,3,-0.38,22.298999999999996,0.4,2.2289999999999965,0.09,0.02,-1.07,2.0,0,13,0,0,0
-0.49,2,-0.63,22.298999999999996,0.3,6.73,-0.31,-0.05,-0.01,2.0,0,12,0,0,1
0.76,4,4.86,38.43,0.333333333,6.5,0.59,0.31,0.53,0.0,0,14,0,0,0
0.87,4,-7.0,72.67,0.0,16.38,0.27,0.14,0.25,3.0,3,11,0,3,0
0.25,3,-0.21,22.298999999999996,0.142857143,2.98,0.04,0.44,0.3,5.5,0,10,0,0,0
-0.73,1,-0.66,22.298999999999996,99.0,4.92,0.02,0.05,0.06,0.0,0,9,0,0,1
-0.95,1,0.0,22.298999999999996,0.388888889,2.2289999999999965,0.0,0.0,0.0,5.5,0,9,0,0,1
0.04,4,-0.61,55.0,0.0,21.32,0.43,0.22,0.71,0.0,0,14,5,0,1
-0.35,2,4.83,35.03,99.0,20.29,-0.42,-0.82,0.76,0.0,9,11,0,3,1
-0.48,1,-3.57,55.91,0.0,14.24,-0.01,-1.06,-0.52,2.0,9,9,0,2,1
-0.54,4,-7.0,147.5,99.0,17.47,0.59,-1.06,-1.07,0.0,0,14,0,0,0
-0.54,3,-4.09,47.27,0.333333333,6.44,-0.05,-0.29,-0.15,0.0,9,12,0,6,1
-0.63,3,-0.98,22.298999999999996,0.272727273,2.72,0.3,-0.16,0.0,3.0,0,13,2,0,0
0.69,3,3.31,84.17,0.2,5.88,0.13,0.06,0.04,0.0,0,13,10,0,0
0.37,4,-7.0,145.36,99.0,15.22,-0.72,-0.73,-0.65,0.0,9,14,2,6,0
0.56,3,-7.0,58.85,99.0,21.32,-0.34,0.28,0.71,0.0,9,11,12,6,0
-0.02,4,-6.63,102.6,99.0,11.37,-0.72,-0.15,-1.07,0.0,0,14,0,0,0
-0.48,3,-5.4,147.5,99.0,2.92,-0.72,-0.01,-0.01,0.0,2,14,0,1,0
0.25,4,2.74,31.5,0.25,4.34,0.43,0.18,0.13,0.0,1,14,1,1,0
-0.03,3,-0.78,86.5,0.0,6.61,-0.22,0.6,0.2,0.0,3,14,12,3,0
-0.95,1,0.0,35.95,0.166666667,2.2289999999999965,0.28,0.0,0.0,2.0,0,9,0,0,1
-0.33,2,-7.0,40.76,99.0,6.62,-0.03,0.2,-0.53,0.0,9,9,0,6,0
-0.95,1,0.0,66.67,0.269230769,2.2289999999999965,0.04,0.0,0.0,5.5,1,9,0,0,0
0.87,3,1.85,28.4,0.0,11.7,0.03,0.68,0.63,0.0,0,14,0,0,0
-0.08,1,-7.0,75.6,0.0,2.78,-0.16,-0.04,0.05,0.0,0,14,5,0,1
0.87,4,-2.69,45.2,0.0,18.56,0.14,-0.95,0.62,0.0,9,13,0,6,0
-0.2,2,-0.55,39.15,0.333333333,6.76,-0.23,0.61,-0.03,5.0,0,13,6,0,1
-0.94,1,-0.29,30.0,0.428571429,2.2289999999999965,-0.31,-0.12,-0.1,2.0,5,10,0,4,1
-0.64,4,-2.6,52.86,99.0,5.25,0.07,0.17,0.16,0.0,2,14,1,2,1
-0.66,1,6.59,147.5,0.555555556,19.82,-0.17,-1.06,-1.07,5.0,0,10,0,0,1
-0.86,3,-0.68,147.5,0.285714286,2.2289999999999965,-0.23,-0.03,-0.03,2.0,0,11,12,0,1
0.24,4,0.32,37.5,0.0,6.16,0.24,-0.18,-0.17,0.0,5,14,0,5,0
-0.08,4,-0.35,68.64,99.0,14.52,-0.11,-0.47,-0.8,0.0,0,14,10,0,1
0.72,4,6.23,62.72,99.0,7.79,0.59,0.59,0.76,0.0,0,13,12,0,0
0.73,4,0.0,147.5,99.0,21.32,-0.62,0.27,-1.07,0.0,0,14,11,0,0
-0.76,4,0.0,104.57,99.0,21.32,0.14,-0.04,-0.14,0.0,0,14,1,0,1
0.52,4,-7.0,22.298999999999996,0.0,5.48,0.16,0.34,0.29,0.0,0,14,0,0,0
-0.4,1,1.07,22.298999999999996,0.428571429,8.04,-0.68,-0.55,-0.39,5.5,0,9,0,0,0
0.87,4,5.22,43.0,0.25,7.09,0.02,0.85,0.37,5.5,0,9,0,0,0
0.19,4,6.06,74.91,99.0,11.02,0.59,-1.06,-0.19,0.0,3,14,10,3,0
-0.39,3,-1.61,40.38,1.0,3.77,-0.72,-0.37,-1.07,0.0,0,14,0,0,1
0.04,3,-7.0,147.5,0.0,4.72,0.15,0.41,0.34,0.0,1,13,12,0,0
0.01,3,0.89,22.298999999999996,0.2,6.33,-0.51,-0.51,-0.35,2.0,0,13,0,0,0
-0.23,1,-2.4,43.6,0.363636364,3.65,0.02,-0.11,-0.05,3.0,0,12,1,0,0
-0.44,4,-1.61,96.67,1.0,20.05,-0.38,-1.06,-1.07,0.0,2,14,0,2,1
-0.95,1,0.0,29.53,1.0,18.98,-0.11,-1.06,-1.07,2.5,8,9,0,6,1
-0.95,1,0.0,35.0,0.4,2.2289999999999965,0.0,0.0,0.0,5.0,0,9,0,0,1
-0.35,4,-2.64,147.5,99.0,9.52,-0.59,-0.68,-0.51,0.0,6,14,0,4,0
-0.18,1,0.73,22.298999999999996,0.333333333,4.67,0.0,0.01,-0.18,2.0,3,14,0,0,0
0.7,4,-2.08,22.298999999999996,0.222222222,10.37,0.45,-0.17,0.16,2.0,8,14,0,6,0
-0.06,4,-0.65,22.298999999999996,99.0,3.1,0.24,-0.12,-0.33,0.0,2,14,0,2,0
0.42,3,1.95,22.298999999999996,0.0,12.07,-0.72,0.44,0.76,2.0,0,14,12,0,0
-0.26,4,6.59,136.0,99.0,5.7,0.01,-0.26,-0.17,0.0,1,14,0,1,0
0.52,4,-7.0,81.85,99.0,11.35,-0.32,-0.16,-0.18,0.0,1,14,0,1,0
-0.95,1,0.0,41.33,0.388888889,2.2289999999999965,-0.01,-0.12,-0.1,5.5,0,9,0,0,1
-0.95,4,0.0,98.44,99.0,21.32,-0.07,-1.06,-1.07,0.0,0,14,0,0,0
0.87,1,2.41,55.0,0.090909091,6.44,-0.04,0.73,0.56,2.0,0,11,0,0,0
0.87,3,6.59,147.5,0.0,21.32,-0.12,0.85,0.76,0.0,2,14,0,2,0
-0.22,3,6.59,109.0,0.166666667,7.28,0.04,0.4,0.32,3.0,0,13,2,0,0
0.05,3,-2.23,130.0,0.083333333,4.23,0.04,0.27,0.23,3.0,0,12,0,0,0
-0.25,4,5.52,77.06,99.0,10.43,-0.39,0.18,-0.16,0.0,0,14,0,0,0
-0.14,4,-7.0,137.67,0.0,9.68,-0.16,-0.65,-0.53,0.0,2,14,12,2,0
0.14,3,1.06,22.298999999999996,0.192307692,4.1,0.16,0.43,0.13,5.5,0,9,0,0,0
-0.22,4,0.42,22.298999999999996,99.0,9.47,-0.72,-1.06,-1.07,0.0,3,14,0,1,0
0.18,4,-0.93,48.75,0.2,4.04,-0.41,0.33,0.2,0.0,0,14,0,0,0
0.68,4,-3.98,64.0,0.0,8.22,0.45,0.6,0.27,0.0,0,14,0,0,0
0.15,4,0.52,23.33,0.166666667,7.02,0.09,0.68,0.2,2.5,0,14,0,0,1
-0.31,2,-1.96,61.25,1.0,2.53,-0.18,0.06,0.1,0.0,2,14,0,2,0
-0.1,1,-5.83,37.14,0.0,5.27,0.01,0.1,0.07,0.0,2,14,9,1,0
-0.95,4,0.0,35.12,0.28,2.2289999999999965,0.22,0.0,-0.01,5.5,4,13,0,0,1
-0.27,4,-7.0,95.64,0.0,17.21,-0.03,-1.06,-1.07,0.0,9,14,6,6,0
0.26,4,-2.24,56.67,99.0,6.82,-0.72,0.12,0.09,0.0,1,14,0,1,0
0.32,4,-0.24,22.298999999999996,99.0,13.44,0.59,0.18,0.59,0.0,1,14,2,1,0
-0.24,4,0.5,48.07,99.0,6.06,-0.48,0.16,-0.51,0.0,3,14,3,3,0
-0.26,1,-7.0,147.5,0.5,21.32,-0.01,-1.06,-1.07,3.0,7,9,0,1,1
0.75,4,0.4,29.33,0.0,12.2,0.16,0.32,0.31,0.0,9,14,12,6,0
-0.04,4,-6.56,75.33,99.0,9.7,0.1,-0.46,-0.26,0.0,0,14,0,0,0
-0.21,4,-6.66,85.86,0.0,7.87,-0.32,-0.69,-0.79,0.0,1,14,0,1,1
0.87,2,-4.85,75.0,0.166666667,6.26,0.59,0.32,0.27,2.0,9,11,0,6,0
0.87,3,-0.19,147.5,99.0,21.32,0.03,0.85,0.72,0.0,1,14,0,0,0
0.11,3,0.96,147.5,99.0,15.12,0.57,-1.02,0.47,0.0,9,9,12,6,1
-0.31,4,-5.33,47.27,0.0,8.87,0.06,-0.1,-0.03,0.0,0,14,0,0,1
-0.37,4,0.0,56.33,0.0,12.4,-0.72,-0.07,-0.03,0.0,2,14,6,0,0
-0.15,3,1.11,61.9,0.333333333,18.48,-0.72,-1.05,-0.47,2.0,9,13,0,6,1
-0.95,1,0.0,57.5,0.318181818,2.2289999999999965,0.01,0.0,0.0,5.5,0,9,0,0,1
0.39,4,4.97,22.76,99.0,9.46,0.58,0.79,-0.38,0.0,0,14,1,0,0
0.02,1,-1.06,30.5,0.454545455,3.52,-0.72,0.04,0.03,3.5,3,12,4,2,1
0.87,4,0.02,39.21,99.0,15.67,-0.72,0.85,0.76,0.0,5,14,0,4,0
0.43,4,6.59,95.83,0.0,6.76,0.45,0.31,0.26,0.0,0,14,0,0,0
-0.44,2,0.21,34.29,0.428571429,2.46,-0.43,0.05,0.09,2.0,0,13,0,0,1
-0.95,1,0.0,22.298999999999996,0.3,2.2289999999999965,0.08,0.0,0.08,4.5,0,9,0,0,1
-0.74,4,0.96,22.298999999999996,0.4,9.43,-0.25,-0.32,-0.05,4.0,0,14,2,0,1
-0.57,3,-6.82,92.86,0.0,21.32,0.15,-1.06,-1.07,0.0,9,12,0,1,1
-0.76,4,0.0,49.14,0.0,19.27,0.05,-1.06,-0.3,0.0,0,14,0,0,1
-0.37,1,6.59,139.89,0.0,8.52,-0.72,-0.85,-1.07,0.0,9,9,12,6,0
-0.49,4,6.59,54.43,0.222222222,7.5,0.04,-0.56,-0.2,2.0,1,14,0,1,0
-0.88,2,-0.43,22.298999999999996,0.333333333,2.2289999999999965,0.03,-0.07,-0.06,2.67,0,10,0,0,1
-0.91,2,0.0,49.88,0.0,21.32,-0.15,-1.06,-0.89,0.0,4,14,0,3,1
-0.37,4,1.2,67.5,99.0,10.01,0.16,-0.71,-0.19,0.0,5,14,1,3,0
-0.09,4,0.36,53.33,0.0,6.58,0.0,0.33,0.27,0.0,0,14,0,0,0
-0.51,3,-1.61,32.0,0.333333333,11.19,0.07,-0.56,-0.38,2.0,0,13,0,0,1
0.32,4,0.0,54.0,0.0,20.39,-0.63,0.74,0.62,0.0,0,14,0,0,0
0.87,4,6.59,58.5,99.0,9.42,0.27,0.85,0.46,0.0,0,14,0,0,0
0.87,4,2.06,36.9,0.0,10.32,0.48,0.59,0.68,0.0,0,14,0,0,0
-0.29,4,-0.56,37.29,0.375,2.56,-0.01,-0.13,-0.3,2.5,0,11,0,0,0
0.87,3,-1.65,36.67,0.055555556,8.42,-0.13,0.64,0.33,4.0,1,12,0,0,0
-0.95,3,0.0,22.298999999999996,0.0,2.2289999999999965,-0.61,0.0,0.0,0.0,0,13,1,0,1
-0.25,4,-0.5,37.14,0.5,4.64,-0.13,0.17,0.16,0.0,0,14,0,0,0
-0.36,4,-0.12,22.298999999999996,0.0,5.42,0.48,-0.21,0.13,0.0,3,14,4,3,0
0.08,4,-2.41,25.27,0.090909091,6.13,-0.46,0.26,0.26,3.0,0,14,1,0,1
-0.46,4,-1.97,41.5,0.5,5.08,-0.11,-0.38,-0.32,0.0,0,14,1,0,0
-0.52,4,0.0,60.71,0.0,16.52,0.25,-1.06,-0.04,0.0,3,14,9,2,1
0.35,4,-3.13,43.33,99.0,4.35,-0.06,0.64,0.55,0.0,0,13,0,0,0
0.44,4,-1.4,101.71,99.0,7.24,0.59,-0.28,0.64,0.0,1,14,0,0,0
-0.95,3,0.0,35.6,0.291666667,2.2289999999999965,0.28,-0.1,-0.05,5.5,0,10,0,0,0
-0.95,1,0.0,62.27,1.0,8.83,-0.41,-1.06,-1.07,5.5,7,9,0,6,1
0.17,3,-7.0,147.5,0.5,15.23,0.04,-0.34,-0.39,0.0,9,14,12,6,0
-0.28,3,-3.42,30.1,0.0,8.05,-0.32,-0.07,0.17,2.0,0,14,0,0,0
-0.16,2,5.71,107.13,0.0,3.78,-0.72,-0.24,-0.23,0.0,7,11,10,6,1
-0.95,1,0.0,147.5,0.375,2.2289999999999965,-0.03,-0.09,-0.15,4.5,1,9,12,1,0
0.87,4,0.0,42.0,0.0,12.07,0.08,0.29,0.61,0.0,0,14,1,0,0
-0.29,4,-7.0,147.5,99.0,6.33,0.59,0.06,0.12,0.0,0,14,0,0,0
0.87,4,0.0,114.23,0.0,18.72,0.26,0.1,0.11,0.0,4,14,12,0,0
0.87,4,1.21,43.75,0.0,5.23,0.11,0.06,0.29,0.0,0,12,0,0,0
0.27,4,-7.0,147.5,0.0,9.52,0.59,0.85,0.76,0.0,9,14,7,6,0
0.76,4,2.7,26.36,0.2,7.19,-0.32,0.45,0.15,2.0,0,14,0,0,0
-0.92,4,-0.78,118.05,0.8,9.18,-0.72,-1.06,-0.91,4.0,6,14,0,6,1
-0.12,4,6.59,142.44,99.0,12.02,-0.19,-0.44,-0.38,0.0,0,14,12,0,0
0.0,4,-7.0,101.9,99.0,21.32,0.59,0.82,-1.07,0.0,7,14,6,4,0
-0.95,1,0.0,37.5,0.388888889,2.2289999999999965,-0.03,-0.02,-0.01,5.5,0,9,0,0,1
-0.87,3,-0.12,23.18,0.428571429,10.95,-0.51,-1.06,-0.72,2.67,0,13,0,0,1
-0.78,1,-6.43,36.56,0.5,6.23,-0.02,-0.55,-0.36,2.5,0,10,4,0,1
0.21,3,-7.0,40.27,0.0,9.94,-0.08,0.27,-0.73,0.0,1,14,0,0,0
-0.89,4,-0.17,42.5,0.454545455,2.2289999999999965,-0.13,-0.06,-0.05,2.33,0,14,0,0,1
0.68,4,-7.0,130.79,99.0,21.32,-0.24,0.85,0.76,0.0,9,13,2,5,0
0.02,4,-5.52,48.75,99.0,7.68,0.21,0.2,0.59,0.0,0,14,0,0,0
0.87,4,6.59,39.09,0.0,9.42,0.51,0.85,0.76,2.0,0,13,0,0,0
-0.19,3,-5.49,147.5,0.2,2.45,0.1,0.16,0.17,0.0,0,13,0,0,0
-0.71,3,-0.85,29.21,0.142857143,6.76,-0.35,0.08,0.12,3.0,1,14,0,0,1
-0.95,1,-0.1,48.54,0.538461539,17.29,-0.07,-1.06,-1.07,5.5,8,9,0,4,1
0.34,4,-6.87,52.5,0.0,4.63,0.59,0.05,0.02,2.0,1,13,0,0,0
-0.66,4,0.0,147.5,99.0,21.32,-0.72,-1.06,-1.07,0.0,3,14,11,2,0
-0.95,1,0.0,31.05,0.368421053,2.2289999999999965,0.0,0.0,0.0,5.5,0,9,0,0,1
0.81,2,-0.12,55.71,0.0,9.19,-0.72,0.81,0.22,0.0,1,14,0,1,0
-0.4,4,0.33,28.52,0.4,6.15,0.17,0.09,0.01,2.0,4,14,0,4,0
-0.57,2,-1.89,35.0,0.0,8.37,-0.11,-0.55,-0.35,0.0,0,13,0,0,0
-0.23,3,-4.94,110.31,99.0,8.25,-0.01,-0.42,-0.18,0.0,9,12,0,6,1
0.48,4,4.97,33.93,0.2,8.25,0.07,0.11,0.05,0.0,6,14,0,4,0
-0.42,3,-0.09,22.298999999999996,0.285714286,6.63,-0.49,-0.71,-0.41,2.5,4,11,1,4,1
-0.41,4,-4.69,76.0,0.25,14.21,-0.26,-1.02,-0.77,0.0,0,14,1,0,1
-0.58,4,0.0,112.67,99.0,21.32,0.17,-1.06,0.76,0.0,1,14,0,1,1
0.41,4,-6.69,122.41,99.0,21.32,-0.68,0.85,-1.07,0.0,9,14,1,6,0
-0.85,3,-0.08,147.5,0.357142857,9.31,-0.72,-1.06,-1.07,4.0,1,13,7,0,1
-0.22,3,0.0,22.298999999999996,0.266666667,13.32,0.36,0.36,0.03,2.5,4,13,0,2,1
-0.6,1,-0.29,65.0,0.375,2.2289999999999965,-0.32,-0.39,-0.33,3.0,0,11,0,0,1
0.87,3,1.44,33.9,99.0,21.32,0.27,0.85,0.76,0.0,9,13,5,6,0
0.79,1,5.99,24.44,0.142857143,10.74,0.1,0.43,0.48,4.0,6,9,0,4,0
-0.77,1,-1.43,123.0,0.8,4.99,-0.14,-0.32,-0.27,2.0,0,11,0,0,0
-0.64,4,-0.23,22.298999999999996,0.166666667,4.06,-0.06,-0.03,-0.04,3.0,0,13,0,0,0
0.22,4,-3.67,105.16,0.0,21.32,-0.14,0.85,0.76,0.0,1,14,12,1,1
-0.8,1,-2.91,147.5,0.666666667,7.24,-0.59,-1.06,-0.95,2.0,1,10,12,1,1
0.61,4,-7.0,147.5,99.0,20.44,0.59,0.46,0.39,0.0,1,14,0,1,0
0.53,3,-0.59,62.0,0.0,6.43,0.31,0.09,0.42,0.0,1,14,0,1,0
0.12,3,-5.44,88.75,0.2,3.78,0.13,0.09,0.07,0.0,0,13,0,0,0
-0.67,2,0.85,22.298999999999996,0.375,4.59,-0.33,-0.2,-0.29,2.0,5,12,0,5,0
-0.34,4,6.59,50.71,1.0,3.25,-0.02,-0.11,-0.04,0.0,0,14,1,0,1
-0.21,4,0.59,46.6,0.333333333,13.7,0.46,-0.57,-0.66,2.0,2,12,0,1,0
-0.15,4,-2.88,31.4,99.0,11.61,0.03,0.03,0.33,0.0,0,14,5,0,0
-0.07,4,0.0,102.75,99.0,16.58,0.28,-0.61,-0.46,0.0,6,14,12,5,0
0.42,4,-3.4,31.0,0.0,8.11,0.26,0.34,0.01,0.0,2,14,0,1,0
-0.95,3,0.0,22.298999999999996,0.25,2.2289999999999965,-0.06,0.0,-0.31,5.5,3,11,0,1,0
0.41,4,0.01,22.298999999999996,0.1,4.53,-0.07,0.06,-0.09,0.0,3,14,0,3,0
-0.6,4,6.59,67.0,99.0,4.33,-0.72,-0.46,-0.95,0.0,1,14,0,1,1
-0.18,3,-6.72,147.5,99.0,21.32,0.59,0.85,-1.07,0.0,5,14,12,2,0
0.84,4,-3.56,62.92,99.0,14.08,0.59,0.85,0.76,0.0,0,14,0,0,0
0.13,3,5.24,40.07,0.428571429,12.77,-0.67,0.85,0.76,2.0,9,11,0,2,0
0.81,4,2.79,33.26,99.0,21.32,-0.72,0.85,0.33,0.0,2,14,0,2,0
0.87,4,-0.85,39.58,99.0,12.76,-0.72,0.26,-0.32,0.0,0,14,0,0,0
-0.41,2,-6.99,52.0,0.428571429,21.32,-0.02,-1.06,-1.07,2.0,5,9,0,1,1
0.87,4,0.22,38.6,0.25,15.31,0.59,0.85,0.67,0.0,9,14,0,6,0
0.17,4,0.7,48.67,99.0,12.09,-0.38,-0.93,-1.07,0.0,2,14,0,2,0
0.23,4,-7.0,109.05,99.0,14.86,0.59,-0.11,-0.37,0.0,6,14,12,6,0
-0.95,3,0.0,26.0,0.24137931,2.2289999999999965,-0.13,0.0,0.0,5.5,1,13,0,1,1
-0.24,4,1.6,30.17,99.0,7.44,-0.23,-0.52,-1.07,0.0,9,14,1,6,1
-0.68,4,-3.56,56.29,0.0,4.17,0.1,-0.02,0.18,0.0,0,14,0,0,0
-0.63,4,0.0,107.63,0.0,21.32,-0.72,-0.44,-0.29,0.0,0,14,0,0,1
0.87,2,-1.82,102.0,0.230769231,6.81,-0.72,0.21,0.09,3.0,0,13,0,0,0
0.31,4,0.47,22.298999999999996,0.25,9.33,0.58,-0.07,0.13,0.0,1,13,0,1,0
-0.14,4,1.45,22.5,99.0,5.82,0.11,-0.38,-0.46,0.0,0,14,0,0,0
-0.47,2,-4.89,88.0,99.0,21.32,-0.65,-1.06,-0.42,0.0,1,14,2,0,1
-0.37,4,-4.73,51.86,99.0,6.62,0.08,0.1,-0.15,0.0,0,14,0,0,1
0.38,4,6.54,33.58,0.0,5.81,0.06,0.2,-1.07,0.0,0,13,0,0,0
