s8.mbl.p2,s7.s4.day.no.mou.p2.p4,s3.new.rev.p3,s7.s5.s4.day.nomou.p4,s8.og.rev.p3,s8.ic.mou.all.p3,target,s7.rev.p2.p6,s7.new.rev.p3.p6,ds.usg.p6,ds.og.usg.p4,s4.day.no.mou.p2,s7.rtd.mou.p3.p6,s7.new.rev.l21.p6,s8.new.rev.p3,s1.loc.og.mou.p1,s7.rtd.mou.l21.p6,s8.rtd.mou.p3,s8.rev.p6,s5.rev.p2,s4.rch.val.gt.30.p2,s4.loc.ins.l14,s4.data.ins.l14,s3.og.rev.all.m2,s3.new.rev.m2
-0.1,0.333333333,9.57,0.0,0.04,-0.43,0,0.21,0.51,0,0,0,0.7,0.68,0.2,55.7995,0.82,-0.42,0.17,23.76,0.0,14.0,0,3.33,10.08
-2.42,99.0,5.5,0.0,0.4,0.96,0,0.17,0.25,0,0,0,0.08,0.38,0.47,10.4498,0.175,0.33,-0.33,23.92,2.0,14.0,0,5.49,8.13
-6.0,1.0,5.05,0.0,-0.21,-0.06,1,0.15,0.33,0,0,0,0.34,0.58,-0.21,18.3163,0.57,-0.17,-0.02,13.37,0.0,14.0,1,5.69,6.52
2.3,0.2,5.76,0.0,0.04,-0.54,0,0.14,0.29,0,0,0,0.3,0.46,0.26,26.0327,0.46,0.12,-0.2,45.59,1.0,13.0,5,4.58,8.4
-1.41,99.0,5.61,0.0,0.3,-0.12,0,0.27,0.43,0,0,0,0.38,0.63,0.13,24.9831,0.54,0.25,0.01,12.97,1.0,14.0,0,3.09,4.12
6.44,99.0,9.53,0.0,-1.125,-0.04,0,0.16,0.45,0,0,0,0.44,0.58,-1.15,55.7663,0.58,-0.95,-0.12,29.35,1.0,14.0,5,11.66,11.48
-0.67,1.0,5.3,0.0,-0.14,-0.22,0,0.14,0.39,0,0,0,0.4,0.48,0.01,14.8663,0.51,-0.12,-0.1,11.85,0.0,13.0,0,3.7,6.0
6.44,99.0,10.27,0.0,-0.32,-0.34,0,0.03,0.41,0,0,0,0.43,0.53,-0.48,5.3665,0.55,-0.15,0.31,13.77,1.0,14.0,5,8.97,10.26
0.0,0.166666667,0.0,0.333333333,0.0,0.28,1,0.03,0.0049999999999999,0,0,0,0.0049999999999999,0.175,0.0,0.0,0.175,0.0,-0.34,1.18,0.0,11.5,0,3.79,7.25
0.0,99.0,26.005000000000003,0.0,0.13,0.96,0,0.15,0.59,0,0,0,0.47,0.65,-1.52,80.3662,0.55,0.38,-0.02,11.43,0.0,14.0,0,4.38,27.29875
0.03,0.0,18.8,0.3,0.79,-0.06,0,0.29,0.47,0,0,0,0.44,0.58,1.36,46.133,0.56,0.67,0.07,33.67,1.0,14.0,0,7.59,15.45
-3.82,0.0,3.93,0.0,-0.19,-0.7,0,0.15,0.32,0,0,0,0.49,0.41,-0.27,22.933,0.65,-0.55,-0.14,8.94,0.0,14.0,0,3.82,12.52
6.22,0.5,26.005000000000003,0.0,0.995,-1.04,0,0.43,0.76,0,0,0,0.28,0.935,1.36,107.0235125,0.43,0.98,0.525,75.53125,2.0,14.0,0,13.08,22.42
-0.46,0.333333333,2.75,0.0,-0.07,0.09,1,0.04,0.2,0,0,0,0.31,0.35,-0.07,0.0,0.51,0.04,-0.13,0.9,0.0,11.5,5,4.41,4.47
0.0,0.0,10.75,0.0,-0.04,-0.1,0,0.18,0.39,0,0,0,0.41,0.65,-0.26,82.2332,0.59,0.38,-0.07,22.56,0.0,14.0,0,3.22,12.06
-6.73,0.375,13.38,0.375,-0.24,-0.02,1,0.15,0.52,0,0,0,0.36,0.6,-0.31,17.0332,0.6,-0.36,0.17,42.47,0.0,11.5,1,9.56,9.95
0.0,0.466666667,1.16,0.466666667,-0.06,0.32,1,0.14,0.08,0,0,1,0.17,0.19,-0.06,0.0,0.28,-0.39,0.01,6.24,0.0,12.0,0,2.22,6.69
0.25,0.285714286,5.75,0.642857143,-0.19,0.59,1,0.17,0.19,0,0,1,0.18,0.38,-0.09,2.2831,0.43,-0.1,-0.08,22.6,0.0,13.0,0,4.42,9.04
6.44,99.0,26.005000000000003,0.0,-0.76,-1.04,0,0.22,0.49,0,0,0,0.63,0.78,-0.89,107.0235125,0.79,-1.3450000000000002,0.525,75.53125,2.5,14.0,1,18.26375,27.29875
-1.51,99.0,10.6,0.0,0.54,-0.59,0,0.17,0.36,0,0,0,0.44,0.61,0.16,17.7996,0.62,0.87,0.0,22.39,2.0,14.0,1,7.5,16.53
0.0,0.35,0.0,1.0,0.0,0.0,1,0.0,0.0049999999999999,0,0,1,0.0049999999999999,0.175,0.0,0.0,0.175,0.0,-0.555,0.0,0.0,11.5,0,18.26375,23.46
0.0,0.454545455,0.36,0.454545455,-0.01,0.96,1,0.0,0.02,0,0,1,0.0049999999999999,0.24,-0.01,0.0,0.23,-0.01,-0.21,0.04,0.0,12.0,0,2.63,2.98
-2.89,0.2,4.07,0.0,-0.06,-0.09,0,0.12,0.39,0,0,0,0.41,0.53,-0.06,6.9664,0.53,-0.05,-0.06,6.98,0.0,13.0,0,3.66,4.15
-1.84,0.363636364,6.3,0.363636364,0.2,0.21,1,0.27,0.37,0,0,1,0.33,0.45,0.04,8.4499,0.44,0.17,0.05,18.77,0.0,11.5,0,9.45,10.0
1.38,99.0,12.84,0.0,0.58,0.96,0,0.25,0.41,0,0,0,0.4,0.57,0.75,55.016,0.57,0.44,0.5,75.53125,2.5,14.0,5,8.39,9.6
1.25,0.333333333,7.41,0.0,0.05,0.63,0,0.12,0.41,0,0,0,0.37,0.52,-0.06,5.633,0.46,0.04,-0.06,16.81,0.0,14.0,5,2.72,4.3
-1.59,99.0,2.2,0.0,-0.15,-0.44,0,0.1,0.33,0,0,0,0.33,0.43,-0.15,5.7664,0.43,-0.14,-0.07,3.26,0.0,14.0,0,3.61,3.61
-3.78,1.0,2.29,0.0,-0.02,-0.04,1,0.17,0.32,0,0,0,0.28,0.52,-0.02,14.1163,0.53,-0.36,-0.04,6.25,0.0,14.0,1,2.64,3.46
6.44,99.0,10.54,0.0,0.88,0.52,0,0.19,0.33,0,0,0,0.33,0.44,0.82,63.5329,0.45,0.72,-0.555,33.44,1.0,14.0,0,18.26375,27.29875
6.44,0.0,13.94,0.285714286,-0.12,-1.04,0,0.25,0.67,0,0,0,0.37,0.73,0.14,33.8664,0.4,0.68,-0.17,75.53125,2.0,14.0,5,10.02,10.26
0.0,99.0,17.85,0.0,-0.36,0.3,0,0.21,0.38,0,0,0,0.49,0.52,-0.36,91.3496,0.59,-0.56,0.06,23.04,1.0,14.0,2,5.86,18.48
-0.74,1.0,26.005000000000003,0.0,-1.125,-0.01,1,0.16,0.51,0,0,0,0.54,0.63,-1.52,58.8326,0.64,-1.3450000000000002,0.42,75.53125,2.0,14.0,1,18.26375,27.29875
-4.78,1.0,3.98,0.0,-0.23,0.18,0,0.13,0.26,0,0,0,0.26,0.43,-0.25,14.2497,0.42,-0.19,-0.25,9.61,0.0,14.0,0,6.93,7.01
-6.71,0.166666667,7.12,0.333333333,0.51,-0.19,0,0.43,0.6,0,0,0,0.55,0.68,0.58,15.3497,0.67,0.41,0.13,26.98,0.0,13.0,0,3.36,3.36
-4.65,0.666666667,4.08,0.0,0.08,-0.05,0,0.11,0.21,0,0,0,0.24,0.49,0.08,8.1499,0.49,0.0,-0.07,14.17,0.0,12.0,0,9.42,9.42
0.0,0.233333333,0.0,1.0,0.0,0.24,1,0.0,0.0049999999999999,0,0,1,0.0049999999999999,0.175,0.0,0.0,0.175,0.0,-0.1,0.0,0.0,11.5,0,2.29,2.29
6.44,1.0,6.41,0.0,-0.2,-0.45,0,0.08,0.26,0,0,0,0.25,0.45,-0.18,13.1332,0.45,-0.16,-0.46,23.58,1.0,13.0,0,9.79,10.12
2.62,99.0,14.83,0.0,-0.54,-0.06,0,0.2,0.36,0,0,0,0.36,0.49,-0.08,46.3329,0.5,-0.26,0.48,75.53125,2.0,14.0,5,15.42,16.58
2.58,0.166666667,13.09,0.333333333,0.49,0.09,0,0.32,0.64,0,0,0,0.69,0.72,0.73,21.6497,0.73,0.45,0.34,29.9,2.0,13.0,0,4.43,8.48
-4.02,0.210526316,26.005000000000003,0.368421053,-1.125,0.04,0,0.32,0.765,0,0,1,0.765,0.935,-1.52,0.7999,0.935,-1.3450000000000002,0.525,75.53125,1.0,14.0,5,18.26375,27.29875
-1.41,0.266666667,10.73,0.4,-0.14,0.18,0,0.19,0.48,0,0,1,0.51,0.48,-0.38,9.6166,0.51,-0.12,-0.07,21.03,0.0,11.5,0,6.72,12.01
-1.62,0.285714286,6.86,0.285714286,-0.37,-0.21,0,0.09,0.41,0,0,1,0.52,0.58,-0.86,22.2164,0.71,-0.2,-0.02,15.86,0.0,12.0,0,5.38,7.65
0.0,0.304347826,16.53,0.565217391,-1.125,-0.72,1,0.0,0.58,0,0,1,0.58,0.58,-1.52,0.0,0.58,-1.17,-0.08,0.0,0.0,12.0,0,9.69,12.02
0.0,0.25,0.0,0.35,0.0,0.15,1,0.0,0.0049999999999999,0,0,1,0.07,0.175,0.0,0.4833,0.175,0.02,-0.39,0.0,0.0,11.5,0,4.09,9.44
4.16,99.0,16.22,0.0,0.38,0.17,0,0.27,0.55,0,0,0,0.52,0.68,0.46,82.1495,0.66,0.29,0.525,59.06,2.0,14.0,0,10.23,10.29
6.44,0.0,10.69,0.0,0.06,-1.04,0,0.09,0.4,0,0,0,0.43,0.62,0.05,107.0235125,0.6,0.12,-0.51,21.89,1.0,14.0,5,11.03,11.86
0.0,0.269230769,0.0,1.0,0.0,0.39,1,0.0,0.0049999999999999,0,0,1,0.0049999999999999,0.175,0.0,0.0,0.54,0.0,-0.13,0.0,0.0,12.0,0,2.96,2.96
-1.29,99.0,26.005000000000003,0.0,-0.49,0.96,0,0.36,0.7,0,0,0,0.45,0.8,-1.52,36.7493,0.63,-0.14,0.525,75.53125,1.0,14.0,5,3.98,27.29875
6.44,99.0,25.8,0.0,-1.05,-0.2,0,0.16,0.55,0,0,0,0.46,0.69,-1.21,107.0235125,0.62,0.98,0.525,30.42,1.0,14.0,0,17.86,20.14
-0.58,99.0,26.005000000000003,0.0,0.21,-0.44,0,0.22,0.43,0,0,0,0.41,0.65,-1.27,36.4829,0.6,-1.2,0.08,49.62,2.0,14.0,0,4.56,27.29875
-7.960000000000001,0.0,3.95,1.0,0.61,-0.31,0,0.09,0.24,0,0,0,0.27,0.32,0.6,45.0995,0.37,0.56,-0.35,12.62,0.0,11.5,5,7.52,9.75
-0.86,0.111111111,5.89,0.611111111,-0.63,0.02,0,0.19,0.68,0,0,0,0.71,0.83,-0.63,2.6165,0.82,-0.53,0.05,6.33,0.0,11.5,0,4.59,4.75
-7.960000000000001,0.0,8.49,0.0,0.92,0.45,1,0.17,0.25,0,0,0,0.16,0.34,0.91,47.7998,0.22,0.7,-0.3,29.78,0.0,14.0,0,14.36,14.38
0.0,1.0,12.78,0.666666667,-0.25,-0.11,0,0.08,0.35,0,0,1,0.41,0.57,-0.25,26.0499,0.5,-0.56,-0.05,4.02,0.0,13.0,0,2.8,14.53
0.36,0.0,8.4,0.75,0.11,-0.34,0,0.4649999999999999,0.52,0,0,0,0.5,0.67,0.33,26.3828,0.59,0.09,0.525,75.53125,2.5,14.0,3,4.79,9.16
-0.29,0.0,7.48,1.0,-0.38,-0.73,1,0.24,0.48,0,0,0,0.56,0.75,-0.51,69.9495,0.84,-0.64,0.47,34.72,2.0,14.0,0,9.09,12.28
0.04,0.0,7.32,0.0,0.58,-0.18,0,0.4649999999999999,0.36,0,0,0,0.26,0.63,0.59,29.4165,0.58,0.49,0.42,75.53125,1.0,14.0,5,8.97,9.48
-0.15,0.444444444,26.005000000000003,0.333333333,-0.05,-0.17,1,0.01,0.48,0,0,1,0.19,0.58,-1.52,5.15,0.36,0.04,-0.555,4.37,0.0,14.0,5,6.28,27.29875
-4.2,99.0,5.91,0.0,0.23,0.07,0,0.15,0.35,0,0,0,0.38,0.56,0.22,31.9996,0.59,0.54,-0.11,20.41,1.0,14.0,0,6.13,7.76
-2.9,0.066666667,6.04,0.333333333,-0.42,0.96,1,0.23,0.61,0,0,0,0.55,0.84,-0.47,8.1998,0.78,-0.3,0.06,7.8,0.0,13.0,0,4.28,4.63
-6.46,0.0,19.26,0.833333333,0.995,0.96,0,0.2,0.4,0,0,0,0.49,0.45,1.36,107.0235125,0.56,1.175,-0.03,61.31,2.0,14.0,5,18.26375,20.8
0.37,0.666666667,15.62,0.0,-0.12,-1.04,0,0.15,0.3,0,0,0,0.34,0.52,0.19,36.3165,0.51,-0.13,-0.03,15.67,0.0,12.0,1,4.39,19.07
-7.960000000000001,0.111111111,13.02,0.666666667,0.62,0.53,0,0.31,0.57,0,0,0,0.59,0.65,0.57,26.1165,0.67,0.52,0.26,22.11,1.0,14.0,0,9.09,10.25
6.44,99.0,12.29,0.0,-0.03,0.23,0,0.14,0.3,0,0,0,0.31,0.5,-0.03,64.1328,0.51,0.04,-0.32,25.73,1.0,14.0,0,17.98,18.16
0.88,0.285714286,6.47,0.285714286,0.05,-0.14,0,0.16,0.36,0,0,1,0.31,0.45,0.26,13.1997,0.39,0.04,-0.08,18.47,0.0,14.0,0,4.55,5.48
0.18,0.0,14.48,0.0,0.84,0.05,0,0.29,0.52,0,0,0,0.51,0.65,0.86,78.833,0.64,0.54,0.43,33.79,2.5,13.0,0,12.86,13.7
2.11,0.357142857,5.61,0.571428571,-0.2,0.0,1,0.07,0.4,0,0,1,0.39,0.57,-0.2,4.0332,0.59,-0.16,0.0,4.26,0.0,11.5,0,3.88,4.29
-0.53,0.25,9.94,0.75,0.64,-0.71,0,0.31,0.2,0,0,1,0.17,0.5,0.8,50.1496,0.49,0.59,0.1,75.53125,2.0,13.0,5,16.29,16.17
-7.960000000000001,0.0,11.94,0.0,0.7,0.22,0,0.41,0.5,0,0,0,0.53,0.66,0.65,15.6662,0.73,0.58,0.08,47.1,0.0,14.0,0,3.33,6.49
6.44,99.0,26.005000000000003,0.0,0.3,-0.17,0,0.4649999999999999,0.52,0,0,0,0.39,0.53,1.36,42.5496,0.5,-0.33,-0.1,75.53125,1.0,14.0,5,2.34,27.29875
-7.960000000000001,0.0,9.43,0.0,-0.18,0.28,0,0.24,0.48,0,0,0,0.43,0.55,-0.18,15.7496,0.5,-0.15,0.07,28.24,0.0,14.0,0,7.12,8.07
-0.64,1.0,9.82,1.0,-0.33,-0.52,1,0.25,0.23,0,0,1,0.14,0.29,-0.81,0.7332,0.34,-0.41,0.525,41.87,2.5,14.0,5,3.27,19.92
0.0,99.0,26.005000000000003,0.0,0.02,0.06,1,0.09,0.44,0,0,0,0.37,0.5,0.02,53.7995,0.54,0.15,-0.17,10.41,0.0,14.0,0,5.54,27.29875
-3.43,0.083333333,8.82,0.75,-0.22,-0.2,0,0.3,0.765,0,0,0,0.765,0.935,-0.25,28.8162,0.935,-0.2,0.26,22.8,1.0,14.0,0,6.21,7.25
2.28,0.0,7.1,0.0,-0.32,-0.45,0,0.17,0.43,0,0,0,0.42,0.55,-0.39,22.2329,0.56,-0.28,-0.08,12.34,2.0,14.0,1,5.78,5.89
2.39,0.0,5.52,1.0,0.32,0.57,0,0.31,0.52,0,0,0,0.52,0.62,0.34,30.8663,0.64,0.3,0.09,11.18,1.0,14.0,0,3.57,3.63
0.71,0.222222222,4.2,0.277777778,-0.09,0.03,0,0.09,0.4,0,0,1,0.43,0.48,-0.11,4.7831,0.52,-0.08,-0.15,4.72,0.0,14.0,0,3.67,4.23
-7.960000000000001,99.0,8.33,0.0,0.42,0.01,0,0.24,0.47,0,0,0,0.48,0.64,0.42,55.5995,0.66,0.35,0.09,35.28,0.0,14.0,0,7.38,7.6
-0.1,0.0,4.81,0.0,-0.27,-0.37,1,0.11,0.41,0,0,0,0.39,0.53,-0.5,10.5831,0.53,-0.23,-0.02,7.3,1.0,14.0,3,4.13,4.71
6.44,99.0,26.005000000000003,0.0,-1.125,-0.25,1,0.06,0.29,0,0,0,0.36,0.47,-1.52,107.0235125,0.53,-1.3450000000000002,-0.555,49.3,1.0,14.0,0,18.26375,27.29875
-3.34,0.0,10.51,0.0,-1.11,0.55,1,0.11,0.41,0,0,0,0.52,0.52,-1.52,34.3662,0.61,-0.91,0.03,15.01,0.0,14.0,0,7.43,11.17
0.0,0.368421053,2.49,0.473684211,-0.17,-0.19,1,0.0,0.09,0,0,1,0.13,0.67,-0.17,0.0,0.75,-0.15,-0.01,0.0,0.0,11.5,0,4.37,6.55
0.77,0.176470588,15.59,0.823529412,0.94,0.03,0,0.4649999999999999,0.71,0,0,1,0.69,0.71,1.15,49.1163,0.69,0.73,0.26,31.7,1.0,12.0,0,5.41,9.15
-0.24,0.0,13.93,0.0,-0.39,-1.04,1,0.21,0.42,0,0,0,0.37,0.62,-0.12,40.1161,0.6,-0.33,0.4,46.01,2.0,14.0,5,12.3,19.03
0.67,0.0,8.63,0.75,-0.41,-0.1,0,0.22,0.61,0,0,0,0.58,0.78,-0.51,18.083,0.77,-0.35,0.18,22.88,1.0,14.0,0,4.85,7.84
0.0,99.0,26.005000000000003,0.0,0.0,0.15,0,0.28,0.49,0,0,0,0.38,0.55,-0.67,52.5494,0.57,-0.02,0.29,49.2,1.0,14.0,4,3.0,24.75
-1.64,0.444444444,3.9,0.444444444,-0.38,-0.06,1,0.26,0.39,0,0,1,0.44,0.68,-0.62,4.4999,0.66,-0.32,0.03,38.63,1.0,11.5,5,4.51,5.6
-1.87,99.0,3.55,0.0,0.05,0.96,0,0.16,0.3,0,0,0,0.32,0.48,0.11,60.4994,0.54,0.11,-0.12,12.22,0.0,14.0,0,6.16,8.65
-1.96,0.285714286,7.19,0.285714286,-0.27,-0.06,0,0.1,0.42,0,0,1,0.36,0.44,-0.43,1.1166,0.37,-0.2,-0.04,8.58,0.0,12.0,0,5.59,7.19
0.0,0.25,0.0,0.964285714,0.0,-0.01,1,0.0,0.0049999999999999,0,0,1,0.0049999999999999,0.175,0.0,0.0,0.175,0.0,-0.36,0.0,0.0,11.5,1,10.22,11.12
-2.1,0.0,3.77,0.375,0.2,0.66,0,0.23,0.34,0,0,0,0.34,0.37,0.23,22.9832,0.37,0.17,-0.07,10.09,0.0,14.0,0,6.3,6.87
6.44,99.0,26.005000000000003,0.0,0.82,-0.37,1,0.27,0.41,0,0,0,0.41,0.53,0.94,107.0235125,0.53,0.68,0.525,75.53125,2.5,14.0,5,18.26375,27.29875
-3.98,0.0,8.22,1.0,0.32,0.45,0,0.31,0.51,0,0,0,0.57,0.72,0.6,42.1161,0.77,0.27,0.32,25.33,1.0,14.0,0,5.86,7.44
6.44,0.714285714,11.08,0.857142857,-1.125,-1.04,0,-0.01,0.24,0,0,1,0.29,0.45,-1.49,0.0,0.48,-1.3450000000000002,-0.24,0.45,1.0,11.5,0,14.52,14.41
5.9,0.357142857,4.83,0.642857143,-0.47,-0.16,1,0.15,0.34,0,0,1,0.45,0.52,-0.42,0.0,0.67,-0.53,0.22,20.95,1.0,11.5,4,4.27,6.17
0.0,0.269230769,0.0,1.0,0.0,0.15,1,0.0,0.0049999999999999,0,0,1,0.0049999999999999,0.175,0.0,0.0,0.175,0.0,-0.37,0.0,0.0,11.5,0,8.89,12.7
-7.960000000000001,99.0,4.84,0.0,-0.22,-0.1,1,0.15,0.27,0,0,0,0.25,0.38,-0.39,20.2664,0.37,-0.18,-0.25,17.14,0.0,14.0,0,7.08,8.73
-4.99,99.0,4.19,0.0,0.08,0.06,0,0.18,0.33,0,0,0,0.34,0.59,0.08,19.3164,0.6,0.06,0.03,16.62,0.0,14.0,0,4.55,4.44
-0.76,99.0,2.91,0.0,-0.12,0.04,1,0.08,0.33,0,0,0,0.22,0.38,-0.15,0.5833,0.26,-0.1,-0.04,4.06,0.0,11.5,1,3.2,6.16
-7.960000000000001,99.0,8.63,0.0,-0.55,0.38,0,0.15,0.43,0,0,0,0.44,0.6,-0.55,40.2329,0.61,-0.46,-0.2,39.01,1.0,14.0,5,6.21,6.1
-3.29,0.375,18.11,0.25,-0.47,-0.15,0,0.13,0.28,0,0,1,0.3,0.41,-0.88,7.6999,0.42,-0.39,-0.35,37.33,1.0,12.0,0,11.76,16.76
5.72,0.4,7.73,0.0,-0.37,-0.04,0,0.08,0.52,0,0,0,0.47,0.62,-0.83,8.7163,0.66,-0.24,-0.03,3.89,1.0,12.0,0,2.23,7.32
-5.7,99.0,4.57,0.0,-0.09,-0.08,0,0.13,0.24,0,0,0,0.27,0.43,-0.09,52.7827,0.41,-0.15,-0.21,16.39,0.0,14.0,0,7.07,7.79
-4.72,1.0,6.75,0.0,-0.52,0.54,1,0.09,0.27,0,0,0,0.29,0.54,-0.56,20.133,0.54,-0.66,-0.13,14.69,0.0,13.0,0,10.05,10.68
-1.34,0.0,13.96,0.0,0.995,0.18,0,0.43,0.44,0,0,0,0.43,0.52,1.36,68.883,0.52,1.175,0.34,71.3,2.0,14.0,0,7.31,7.19
6.44,99.0,24.77,0.0,0.995,0.09,0,0.27,0.44,0,0,0,0.41,0.73,1.36,107.0235125,0.68,1.175,0.525,75.53125,1.0,14.0,1,18.26375,19.06
0.7,0.3125,8.27,0.25,-0.28,0.41,0,0.1,0.35,0,0,1,0.31,0.43,-0.5,4.9831,0.35,-0.23,-0.04,31.84,1.0,13.0,5,4.01,8.52
0.0,0.357142857,15.73,0.428571429,-1.05,-0.2,1,0.15,0.64,0,0,2,0.73,0.84,-1.52,20.3665,0.91,-1.15,0.11,11.72,0.0,14.0,0,8.9,12.94
2.04,0.25,0.15,0.833333333,0.01,0.05,1,-0.1349999999999999,0.01,0,0,1,0.01,0.175,0.01,1.1166,0.175,0.01,-0.23,0.6,0.0,11.5,0,4.02,4.02
0.0,0.318181818,0.0,0.818181818,0.0,0.31,0,0.0,0.0049999999999999,0,0,1,0.0049999999999999,0.175,0.0,1.4663,0.175,0.0,-0.11,0.0,0.0,11.5,0,4.86,4.86
-1.35,1.0,7.61,0.75,-1.125,-0.2,1,0.09,0.4,0,0,1,0.38,0.58,-1.44,55.1665,0.56,-1.3450000000000002,-0.11,15.14,0.0,12.0,3,4.6,4.9
-3.12,0.142857143,7.41,0.428571429,-0.08,0.15,1,0.12,0.44,0,0,0,0.43,0.67,-0.11,14.0832,0.65,-0.18,0.0,11.68,0.0,12.0,0,6.13,6.67
-7.28,0.333333333,8.12,0.666666667,-0.03,-0.14,0,0.12,0.42,0,0,0,0.39,0.47,-0.02,18.683,0.42,-0.01,-0.06,18.96,1.0,14.0,0,7.88,7.83
-7.960000000000001,0.111111111,9.8,0.222222222,0.995,-0.8,0,0.33,0.46,0,0,0,0.47,0.64,1.09,33.4832,0.65,0.92,0.04,30.07,1.0,14.0,0,4.79,5.06
