s6.new.rev.p2.m2,s2.rch.val.p6,s8.mbl.p2,s7.s4.day.no.mou.p2.p4,s8.ic.mou.all.p3,s6.rtd.mou.p2.m2,s1.og.hom.mou.p1,ds.usg.p6,ds.og.usg.p4,s3.new.rev.p1,s2.s4.day.no.mou.p2,s8.new.rev.p3,s4.low.blnc.ins.p3,s8.rtd.mou.p3,s2.s4.day.no.mou.p3,s7.rtd.mou.m1.m2,s4.rch.val.gt.30.p2,s4.data.ins.l14,s4.std.ic.ins.l14,target
0.92,41.0,2.39,0.0,0.57,0.98,30.7997,0.0,0.0,8.31,0.0,0.34,0.0,0.3,2.0,0.913256209,1.0,0.0,0.0,0
-0.47,13.45,0.71,0.222222222,0.03,-0.41,4.6999,0.0,0.0,2.21,4.0,-0.11,11.0,-0.08,4.5,1.031756922,0.0,0.0,1.0,0
-0.38,26.25,-0.1,0.0,-0.37,-0.38,10.5498,0.0,0.0,3.32,0.0,-0.5,0.0,-0.23,0.0,0.905870362,1.0,3.0,3.0,1
0.13,41.67,-2.1,0.0,0.66,0.08,22.9498,0.0,0.0,3.68,0.0,0.23,1.0,0.17,3.0,0.897803839,0.0,0.0,0.0,0
0.68,64.0,-3.98,0.0,0.45,0.73,40.4497,0.0,0.0,13.82,0.0,0.6,0.0,0.27,0.0,0.760108876,1.0,0.0,0.0,0
-0.24,95.0,-4.99,99.0,0.06,-0.21,19.2664,0.0,0.0,7.31,0.0,0.08,0.0,0.06,0.0,1.000475621,0.0,0.0,0.0,0
-0.5,124.0,-5.7,99.0,-0.08,-0.44,52.5997,0.0,0.0,6.35,0.0,-0.09,0.0,-0.15,0.0,0.747450032,0.0,0.0,0.0,0
-0.64,58.13,-4.72,1.0,0.54,-0.67,20.1164,0.0,0.0,6.67,0.0,-0.56,2.0,-0.66,0.0,1.182058366,0.0,0.0,0.0,1
-0.13,55.83,-7.28,0.333333333,-0.14,-0.37,18.6665,0.0,0.0,7.13,0.0,-0.02,0.0,-0.01,0.0,1.045450839,1.0,0.0,0.0,0
-0.86,65.0,-0.86,0.5,0.28,-0.84,2.7831,0.0,0.0,0.54,0.0,-0.21,4.0,-0.15,0.0,2.093625219,0.0,0.0,0.0,1
-0.6,47.5,0.0,99.0,0.55,0.14,52.3165,0.0,0.0,2.39,0.0,-0.28,15.0,-0.09,0.0,0.866442634,0.0,0.0,0.0,0
-0.35,35.0,-0.16,99.0,-0.04,-0.36,12.2665,0.0,0.0,3.74,0.0,-0.46,0.0,-0.43,0.0,0.394617199,0.0,0.0,1.0,0
0.06,45.0,6.2,0.333333333,0.57,-0.18,11.8332,0.0,0.0,4.85,0.0,0.29,2.0,0.19,2.0,0.529422789,1.0,0.0,3.0,0
-0.42,12.5,0.42,0.375,0.47,-0.47,8.4832,0.0,0.0,5.14,3.0,0.04,3.0,0.01,3.0,0.796335272,0.0,1.0,0.0,1
0.54,30.44,-0.36,0.083333333,-0.24,0.8,24.0165,0.0,0.0,15.71,0.0,-0.44,6.0,-0.41,0.0,0.864545534,0.0,3.0,0.0,1
0.83,31.33,1.07,0.4,-0.11,0.06,18.6498,0.0,0.0,5.72,2.0,0.03,5.0,-0.53,2.0,1.139944042,0.0,0.0,0.0,0
-0.33,44.33,1.11,0.0,0.05,-0.07,18.6997,0.0,0.0,2.11,0.0,-0.07,0.0,-0.34,0.0,0.976754245,1.0,0.0,2.0,0
-0.01,72.0,-4.82,0.1,-0.81,-0.14,18.4332,0.0,0.0,3.04,0.0,0.54,7.0,0.45,4.0,0.432804128,0.0,0.0,0.0,0
1.03,27.44,1.16,0.0,0.5,0.45,35.4998,0.0,0.0,10.42,0.0,0.49,8.0,-0.24,0.0,0.55080351,0.0,2.0,3.0,0
-0.81,40.0,-0.5,0.333333333,-0.1,-0.78,1.5498,0.0,0.0,0.53,0.0,-0.12,2.0,-0.1,0.0,0.939783878,0.0,0.0,1.0,0
-0.42,31.0,0.0,0.0,0.53,0.67,50.6997,0.0,0.0,1.85,0.0,0.04,15.0,0.29,0.0,0.032734968,0.0,0.0,0.0,1
0.97,46.0,6.11,0.0,-0.52,1.11,25.5332,0.0,0.0,10.96,0.0,-0.48,4.0,-0.33,0.0,0.912888505,1.0,0.0,0.0,0
0.08,22.95,1.42,99.0,-0.33,-0.16,58.9497,0.0,0.0,8.78,0.0,0.44,1.0,0.0,0.0,0.388901351,0.0,0.0,0.0,0
-0.06,52.0,1.42,99.0,-0.33,-0.01,28.2997,0.0,0.0,6.58,0.0,-0.23,4.0,-0.09,0.0,1.705887324,2.0,0.0,0.0,0
-0.29,32.86,5.7,0.0,-0.02,-0.3,11.8164,0.0,0.0,1.52,0.0,0.22,6.0,0.15,5.0,1.034721988,1.0,0.0,1.0,0
-0.25,72.0,-6.39,1.0,0.18,-0.22,29.3665,0.0,0.0,9.66,0.0,0.27,0.0,0.25,0.0,1.152924661,0.0,0.0,1.0,0
-0.21,24.23,4.15,0.0,-0.82,-0.5,5.7165,0.0,0.0,7.17,0.0,-0.34,8.0,-0.34,0.0,0.089741289,1.0,1.0,0.0,0
0.31,11.51,-0.66,99.0,0.07,-0.01,88.0165,0.0,0.0,6.05,0.0,-0.72,9.0,0.1,0.0,0.773989486,1.0,0.0,0.0,0
-0.13,57.5,-5.0,0.333333333,-0.37,0.09,9.1664,0.0,0.0,2.7,0.0,0.16,0.0,0.15,0.0,0.801187328,0.0,0.0,0.0,0
-0.89,42.0,1.17,0.375,-0.56,-0.86,4.1332,0.0,0.0,1.82,2.0,-0.34,9.0,-0.28,3.0,0.647963684,0.0,0.0,0.0,0
-0.37,43.33,3.38,0.5,-0.22,-0.51,19.6498,0.0,0.0,0.85,0.0,-1.09,5.0,-0.78,0.0,1.150346053,2.0,0.0,0.0,1
0.51,54.0,0.0,99.0,0.02,0.09,30.6831,0.0,0.0,0.64,0.0,0.48,15.0,0.09,0.0,0.539718205,1.0,0.0,0.0,0
-0.03,60.0,4.63,0.0,-0.01,-0.02,51.5331,0.0,0.0,7.84,0.0,0.0,0.0,-0.02,0.0,0.731733481,2.0,0.0,0.0,0
-0.23,72.5,-2.52,0.5,0.03,-0.11,7.2499,0.0,0.0,1.84,0.0,-0.34,0.0,-0.23,0.0,1.260125793,0.0,0.0,2.0,0
-0.52,64.5,-2.01,0.0,-0.61,-0.53,11.9997,0.0,0.0,0.21,0.0,-0.14,2.0,-0.35,0.0,0.529198949,1.0,0.0,0.0,0
-0.31,14.65,0.87,0.0,0.06,-0.28,10.4665,0.0,0.0,4.52,0.0,0.11,3.0,0.11,0.0,1.097673959,0.0,0.0,0.0,0
0.06,37.0,-0.17,99.0,-0.19,-0.1,17.7997,0.0,0.0,9.19,0.0,-1.2,5.0,-0.5,0.0,1.715396108,0.0,0.0,0.0,0
-0.14,17.69,-1.12,0.25,0.48,-0.16,19.3831,0.0,0.0,0.64,0.0,0.46,6.0,0.27,3.0,0.964637779,1.0,1.0,0.0,0
-0.58,31.63,0.37,0.25,0.01,-0.86,7.8831,0.0,0.0,10.14,3.0,-0.17,13.0,-0.14,2.67,0.308797784,0.0,0.0,0.0,1
0.06,34.8,-2.92,0.0,-0.54,0.15,3.4498,0.0,0.0,1.04,0.0,-0.83,6.0,-0.31,0.0,1.490661609,2.0,1.0,0.0,1
-0.09,47.0,-0.02,0.333333333,-0.36,0.19,31.7665,0.0,0.0,14.85,3.0,0.53,9.0,0.27,3.0,0.529832346,1.0,1.0,2.0,1
0.05,38.46,0.95,1.0,0.1,0.14,29.3498,0.0,0.0,8.76,0.0,-0.44,4.0,0.19,0.0,1.148541405,2.0,0.0,0.0,0
-0.37,32.25,-4.14,0.0,-0.02,-0.04,13.8164,0.0,0.0,3.27,0.0,-0.54,5.0,-0.43,0.0,0.440864858,0.0,0.0,0.0,0
0.4,53.4,5.92,99.0,-0.16,-0.17,16.4831,0.0,0.0,2.71,0.0,-0.24,0.0,-0.67,0.0,1.061713196,1.0,2.0,0.0,0
0.31,73.0,-4.55,99.0,-1.0,0.72,34.3997,0.0,0.0,3.42,0.0,-0.2,0.0,0.28,0.0,1.236292639,0.0,0.0,0.0,0
1.19,77.5,-7.11,0.0,0.39,1.37,29.1998,0.0,0.0,7.17,0.0,0.71,7.0,0.59,4.0,0.752167363,0.0,0.0,0.0,0
0.0,36.67,-1.02,0.0,0.13,0.02,14.3998,0.0,0.0,5.67,0.0,-0.38,0.0,-0.27,0.0,1.398910864,0.0,0.0,0.0,0
0.69,33.67,1.07,99.0,-0.16,-0.37,18.4498,0.0,0.0,1.85,0.0,0.15,1.0,-0.61,0.0,0.451558026,1.0,0.0,0.0,0
0.01,17.89,6.07,0.25,0.01,-0.21,17.7831,0.0,0.0,4.75,0.0,-0.86,4.0,-0.27,0.0,1.075460581,1.0,0.0,0.0,0
0.31,18.15,-0.1,0.5,0.81,0.32,19.4165,0.0,0.0,6.48,0.0,-0.86,7.0,-0.48,0.0,0.51833398,1.0,3.0,0.0,0
-0.12,48.33,0.52,0.333333333,-0.15,-0.34,31.5498,0.0,0.0,10.82,3.0,-0.72,10.0,-0.6,3.5,1.501859583,1.0,0.0,1.0,0
0.87,49.5,2.65,0.25,-0.13,0.87,47.0831,0.0,0.0,8.39,0.0,-0.16,3.0,-0.05,0.0,0.830019718,1.0,1.0,0.0,0
-0.19,18.75,-3.41,99.0,-0.12,-0.28,46.2163,0.0,0.0,7.58,0.0,-0.01,5.0,-0.01,0.0,1.009566142,1.0,0.0,1.0,1
-0.03,50.0,-7.9,0.25,-0.02,0.07,22.7829,0.0,0.0,4.45,0.0,-0.74,1.0,-0.5,0.0,0.677537176,0.0,0.0,0.0,0
0.35,95.0,5.72,99.0,-0.39,0.4,29.4331,0.0,0.0,6.44,0.0,-0.02,0.0,0.02,0.0,1.856805488,1.0,0.0,0.0,0
-0.19,46.0,0.06,0.2,-0.47,0.53,21.1665,0.0,0.0,5.94,0.0,-0.23,6.0,0.21,2.0,1.416738448,1.0,0.0,0.0,0
-0.43,57.5,-6.13,99.0,0.17,-0.39,16.8498,0.0,0.0,4.38,0.0,-0.29,6.0,-0.17,0.0,1.083227055,1.0,1.0,0.0,0
-0.39,67.14,-1.92,0.0,0.17,-0.49,9.2664,0.0,0.0,2.15,0.0,-1.37,6.0,-0.87,0.0,0.534948656,1.0,0.0,0.0,1
0.07,42.5,0.02,0.111111111,0.55,-0.55,1.2832,0.0,0.0,12.71,0.0,0.5,9.0,-0.03,4.0,0.895620931,1.0,0.0,0.0,0
0.05,27.79,-0.35,99.0,-0.59,-0.1,16.6497,0.0,0.0,5.68,0.0,-0.29,3.0,-0.21,0.0,0.775544687,2.0,1.0,0.0,1
-0.44,35.6,1.52,0.333333333,0.48,-0.74,22.9332,0.0,0.0,7.31,4.0,-0.39,6.0,-0.98,4.0,0.53437617,0.0,0.0,0.0,0
-0.44,54.43,1.48,99.0,-0.52,-0.05,49.3164,0.0,0.0,1.87,0.0,-0.27,3.0,0.3,0.0,1.050416646,1.0,1.0,0.0,0
-0.43,64.83,-7.52,99.0,0.1,-0.4,18.7498,0.0,0.0,4.78,0.0,-0.01,0.0,0.01,0.0,0.778984381,0.0,3.0,4.0,0
0.09,46.75,4.25,0.0,0.07,-0.25,35.183,0.0,0.0,5.03,0.0,-0.04,0.0,-0.99,0.0,0.233541374,2.0,0.0,0.0,0
0.76,50.0,-0.11,0.0,0.12,0.75,18.4832,0.0,0.0,2.78,0.0,0.26,0.0,0.22,3.0,0.811190714,1.0,0.0,1.0,0
-0.56,55.31,0.78,99.0,-0.41,-0.52,33.7165,0.0,0.0,6.67,0.0,-1.24,1.0,-1.06,0.0,1.185264559,1.0,0.0,0.0,1
0.61,75.0,-2.96,0.0,0.23,0.75,9.4164,0.0,0.0,1.05,0.0,0.24,0.0,0.2,0.0,0.885309679,0.0,0.0,0.0,0
0.02,27.14,-1.73,0.25,0.31,0.05,17.3332,0.0,0.0,6.25,0.0,0.16,4.0,0.07,2.0,0.876450817,0.0,0.0,0.0,1
0.05,72.4,5.16,99.0,0.94,-0.23,40.5997,0.0,0.0,11.54,0.0,0.32,0.0,-0.28,0.0,2.014448305,1.0,1.0,5.0,0
0.74,31.7,4.03,0.0,-0.01,0.97,40.3831,0.0,0.0,3.15,0.0,-0.26,2.0,-0.05,0.0,0.213853419,2.0,2.0,2.0,0
0.34,43.33,1.0,0.0,-0.09,-0.11,7.783,0.0,0.0,6.82,0.0,0.37,1.0,0.08,0.0,0.735180986,0.0,0.0,0.0,0
-0.04,34.29,-2.17,0.142857143,-0.19,0.19,2.5165,0.0,0.0,1.02,0.0,-1.0,6.0,-0.3,0.0,0.573151026,1.0,0.0,0.0,1
-0.58,52.86,-2.13,0.0,-0.94,-0.44,9.2165,0.0,0.0,2.68,0.0,-1.28,3.0,-0.67,0.0,0.573063855,0.0,0.0,3.0,0
-0.51,51.67,-3.11,0.2,-0.51,-0.28,19.4165,0.0,0.0,2.31,0.0,-0.57,5.0,-0.81,0.0,0.913692806,0.0,0.0,0.0,0
-0.71,38.0,-1.92,0.444444444,-0.53,-0.57,3.9999,0.0,0.0,1.89,2.0,-0.13,0.0,-0.06,2.0,0.699279343,0.0,0.0,0.0,1
0.29,19.89,-1.0,0.4,0.21,0.34,11.6998,0.0,0.0,4.68,0.0,-0.06,8.0,0.02,3.0,0.966662238,1.0,0.0,0.0,0
-0.09,28.0,2.84,0.166666667,-0.18,0.03,8.8998,0.0,0.0,3.27,0.0,0.08,2.0,0.1,2.0,0.877653216,1.0,0.0,0.0,1
-0.29,32.15,-2.46,0.0,-0.27,-0.71,5.133,0.0,0.0,4.32,0.0,0.14,7.0,0.01,0.0,0.621151304,0.0,0.0,2.0,0
-0.07,115.0,-7.44,99.0,0.0,-0.06,28.8831,0.0,0.0,3.56,0.0,0.11,0.0,0.09,0.0,1.25358523,0.0,0.0,1.0,0
-0.31,53.33,-2.91,0.5,-0.22,-0.28,12.4499,0.0,0.0,4.24,0.0,0.19,0.0,0.16,0.0,1.157907591,0.0,0.0,5.0,0
0.27,49.0,-3.48,0.0,-0.14,0.53,57.5831,0.0,0.0,2.56,0.0,-0.59,0.0,-1.02,0.0,1.895246621,0.0,0.0,0.0,0
-0.46,102.5,-4.82,1.0,-0.71,-0.39,12.3498,0.0,0.0,3.37,0.0,-1.07,0.0,-0.59,0.0,1.074775152,0.0,0.0,0.0,0
0.51,68.33,-7.74,0.0,0.19,0.47,32.7663,0.0,0.0,7.07,0.0,0.76,0.0,0.63,0.0,0.830760011,1.0,1.0,0.0,0
0.37,24.75,-0.42,0.0,-0.36,0.42,63.7331,0.0,0.0,7.14,0.0,-0.64,10.0,0.0,0.0,1.21183325,0.0,0.0,2.0,0
-0.66,58.75,3.14,99.0,-0.26,-0.66,8.6331,0.0,0.0,1.76,0.0,-0.08,2.0,-0.08,0.0,0.616091535,1.0,0.0,1.0,1
-0.71,70.0,-1.48,1.0,0.21,-0.65,6.0165,0.0,0.0,1.43,2.0,0.0,0.0,0.0,2.0,1.001217256,0.0,0.0,0.0,1
-0.15,96.25,-1.17,99.0,-0.18,-0.17,24.1831,0.0,0.0,2.68,0.0,-0.64,0.0,-0.5,0.0,0.75833816,2.0,1.0,0.0,1
-0.76,34.17,-1.23,1.0,0.13,-0.72,2.8999,0.0,0.0,0.74,0.0,-0.41,0.0,-0.33,0.0,0.579244273,0.0,0.0,0.0,1
-0.13,30.37,1.17,99.0,0.03,-0.18,47.1831,0.0,0.0,7.97,0.0,-0.13,3.0,-0.03,0.0,0.592842406,0.0,0.0,0.0,0
0.01,33.75,-3.48,0.333333333,-0.06,0.56,10.0999,0.0,0.0,4.31,0.0,0.11,3.0,0.12,2.0,1.588232181,0.0,0.0,2.0,0
0.01,51.67,1.77,99.0,0.05,0.05,20.2331,0.0,0.0,8.59,0.0,0.32,0.0,0.09,0.0,0.743623952,1.0,0.0,0.0,0
0.95,22.5,2.21,0.125,0.69,0.92,23.0665,0.0,0.0,5.74,0.0,0.4,6.0,0.22,0.0,0.483252433,0.0,0.0,0.0,0
1.11,31.67,-1.08,0.0,0.03,1.1,18.3665,0.0,0.0,3.55,0.0,0.16,4.0,0.14,0.0,1.523687019,1.0,0.0,1.0,0
-0.69,34.92,0.76,1.0,0.08,-0.59,28.5498,0.0,0.0,5.91,0.0,-0.33,0.0,-0.61,0.0,0.744099836,0.0,0.0,0.0,1
0.87,73.33,5.18,0.0,0.03,0.25,41.133,0.0,0.0,8.24,0.0,1.13,1.0,0.08,0.0,0.818158431,2.0,0.0,0.0,0
-0.65,44.67,-2.55,0.0,-0.69,-0.44,25.5497,0.0,0.0,4.15,0.0,-0.21,1.0,-0.14,0.0,0.911285213,0.0,0.0,1.0,0
0.65,15.0,1.03,0.0,-0.93,0.59,17.0997,0.0,0.0,4.68,0.0,0.1,0.0,0.08,0.0,0.940960534,0.0,1.0,0.0,0
-0.58,10.0,-0.86,0.0,-0.27,-0.76,12.9331,0.0,0.0,0.53,0.0,-0.1,0.0,-1.1,2.0,0.818205191,0.0,0.0,0.0,0
-0.42,24.71,0.32,99.0,-0.29,-0.41,38.8497,0.0,0.0,0.96,0.0,-0.78,3.0,-0.59,0.0,0.944112675,0.0,0.0,0.0,0
0.15,55.67,-4.47,99.0,0.07,0.41,78.4663,0.0,0.0,5.36,0.0,0.01,0.0,0.1,0.0,1.191220284,1.0,0.0,0.0,0
-0.39,70.0,-4.53,0.0,0.63,-0.37,17.2498,0.0,0.0,3.32,0.0,0.17,0.0,0.14,0.0,0.459100096,0.0,0.0,1.0,0
0.3,19.23,0.79,0.0,0.1,0.38,37.4831,0.0,0.0,6.11,0.0,0.47,2.0,0.4,0.0,0.787367949,0.0,3.0,0.0,0
-0.81,11.82,0.91,0.625,0.11,-0.81,6.8498,0.0,0.0,3.3,5.0,-0.18,12.0,-0.15,5.0,0.886636187,0.0,0.0,0.0,1
0.81,10.63,0.03,0.0,0.61,0.81,39.1497,0.0,0.0,6.96,0.0,0.53,4.0,0.39,0.0,1.014354957,0.0,0.0,0.0,0
-0.5,62.8,5.26,99.0,0.0,-0.28,17.3664,0.0,0.0,1.92,0.0,-0.15,0.0,-0.44,0.0,0.92439565,1.0,3.0,0.0,0
-0.15,58.8,3.3,0.0,-0.04,0.22,88.1164,0.0,0.0,9.25,0.0,-0.99,2.0,0.16,0.0,0.629907474,1.0,0.0,1.0,1
0.03,61.67,-1.75,99.0,-0.06,0.06,14.8831,0.0,0.0,4.89,0.0,-0.48,3.0,-0.37,0.0,0.403087356,1.0,0.0,2.0,0
0.97,12.5,-2.0,0.0,0.07,1.11,28.2163,0.0,0.0,7.72,0.0,0.63,4.0,0.5,4.0,1.485603323,0.0,0.0,0.0,0
-0.76,32.0,0.0,0.0,0.91,-0.24,28.5497,0.0,0.0,1.84,0.0,-1.33,15.0,-0.32,0.0,0.612113673,0.0,0.0,4.0,0
0.0,46.36,-5.12,99.0,0.2,0.0,41.8497,0.0,0.0,7.39,0.0,0.45,2.0,0.36,0.0,0.887113411,2.0,0.0,0.0,0
0.47,76.67,5.0,0.0,0.18,0.48,32.2498,0.0,0.0,9.67,0.0,0.62,0.0,0.48,2.0,0.675527192,1.0,0.0,0.0,0
-0.68,13.04,0.94,0.555555556,-0.65,-0.68,36.7498,0.0,0.0,8.04,5.0,0.07,10.0,0.32,5.0,0.604620864,0.0,0.0,1.0,1
-0.2,24.44,0.06,0.333333333,0.38,-0.22,17.3165,0.0,0.0,5.87,0.0,0.33,0.0,0.23,0.0,1.080968603,0.0,0.0,0.0,0
0.49,61.2,-6.91,99.0,0.04,0.03,43.9497,0.0,0.0,2.26,0.0,0.2,0.0,-0.69,0.0,0.746964079,0.0,0.0,0.0,0
-0.59,35.31,-1.29,0.0,-0.05,-0.64,15.1832,0.0,0.0,1.8,0.0,-0.09,3.0,-0.18,0.0,0.257730522,1.0,4.0,0.0,1
-0.59,51.0,-2.79,0.666666667,-0.82,-0.46,28.7498,0.0,0.0,2.57,0.0,-0.06,0.0,-0.06,0.0,0.878304216,0.0,0.0,0.0,0
-0.12,82.0,-6.85,0.0,0.15,-0.25,20.6331,0.0,0.0,4.1,0.0,-0.01,3.0,-0.05,0.0,1.040135902,1.0,0.0,1.0,0
-0.42,33.33,0.45,99.0,-0.24,-0.43,29.0332,0.0,0.0,9.19,0.0,-0.49,2.0,-0.24,0.0,1.270358504,0.0,0.0,2.0,0
0.26,28.5,6.41,0.166666667,0.01,-0.09,13.5165,0.0,0.0,3.44,0.0,0.17,2.0,0.05,0.0,0.51204951,1.0,0.0,2.0,0
0.1,17.14,0.05,0.5,0.63,-0.03,12.0499,0.0,0.0,9.84,2.0,-0.15,8.0,-0.12,2.0,0.699319164,0.0,0.0,0.0,0
-0.79,59.0,5.26,99.0,-0.69,-0.65,12.2165,0.0,0.0,3.38,0.0,-0.62,0.0,-1.08,0.0,1.03936617,1.0,0.0,0.0,1
0.03,82.0,-2.65,99.0,-0.31,-0.14,36.9164,0.0,0.0,6.42,0.0,0.29,1.0,0.15,0.0,1.173121825,1.0,0.0,0.0,0
0.72,135.0,-5.21,0.266666667,0.0,1.07,11.3332,0.0,0.0,5.13,3.0,0.1,0.0,0.24,3.0,0.661530954,0.0,0.0,0.0,0
-0.05,100.0,-5.88,0.181818182,-0.02,-0.05,10.6498,0.0,0.0,2.34,0.0,0.18,0.0,0.14,3.0,1.202261702,0.0,2.0,0.0,0
-0.31,29.67,-0.37,99.0,-0.43,0.46,35.3162,0.0,0.0,7.33,0.0,0.2,0.0,0.43,0.0,1.399959338,0.0,0.0,1.0,0
0.38,14.09,-0.01,0.0,0.05,0.33,31.3497,0.0,0.0,3.2,0.0,-0.04,8.0,-0.06,0.0,1.559431573,0.0,0.0,0.0,0
-0.57,15.0,-0.92,0.333333333,0.54,-0.68,8.0665,0.0,0.0,5.26,0.0,0.09,10.0,0.07,2.0,2.088579948,0.0,0.0,0.0,0
-0.38,58.57,-6.02,1.0,-0.23,-0.33,16.2832,0.0,0.0,3.54,0.0,-0.06,0.0,0.05,0.0,0.703805619,0.0,0.0,0.0,0
0.22,44.0,0.16,0.333333333,-0.23,0.24,49.1996,0.0,0.0,13.63,2.0,0.93,12.0,0.6,2.0,1.407115555,2.0,2.0,2.0,0
-0.21,48.0,0.59,0.333333333,0.46,-0.64,11.4166,0.0,0.0,13.12,2.0,-0.57,9.0,-0.66,2.0,0.968458617,0.0,0.0,1.0,0
0.14,70.0,-3.07,0.0,0.35,0.03,11.6831,0.0,0.0,4.0,0.0,0.04,0.0,0.02,0.0,1.085415471,1.0,0.0,3.0,0
0.56,62.5,-2.32,0.0,0.26,0.64,12.9665,0.0,0.0,3.92,0.0,-0.14,1.0,-0.1,0.0,0.967556529,0.0,4.0,1.0,0
-0.24,115.5,-6.51,99.0,0.23,0.09,46.9497,0.0,0.0,2.92,0.0,-0.03,0.0,-0.03,0.0,0.819093399,0.0,0.0,0.0,0
-0.45,80.0,-1.51,0.0,0.09,-0.42,5.5165,0.0,0.0,2.21,0.0,-0.11,0.0,-0.09,0.0,2.106242701,0.0,0.0,1.0,0
1.53,55.0,-7.06,0.166666667,0.35,1.47,18.7497,0.0,0.0,4.58,0.0,0.48,4.0,0.39,2.0,1.181875929,1.0,0.0,0.0,0
-0.8,23.67,0.38,0.4,0.71,-0.72,5.2331,0.0,0.0,1.69,2.0,-0.59,4.0,-0.46,2.0,0.176173802,0.0,2.0,3.0,1
-0.06,44.0,3.16,0.0,0.02,0.01,13.783,0.0,0.0,2.73,0.0,0.06,0.0,0.02,0.0,0.483243653,2.0,5.0,1.0,1
0.83,27.0,-0.71,0.0,-0.01,0.81,19.4331,0.0,0.0,7.66,0.0,0.25,3.0,0.17,0.0,1.539244338,0.0,0.0,0.0,0
0.88,42.86,-0.9,0.0,-0.43,1.36,54.9662,0.0,0.0,7.42,0.0,0.19,5.0,0.39,0.0,1.336703809,1.0,0.0,1.0,0
-0.31,90.0,-3.25,99.0,0.14,-0.28,9.6998,0.0,0.0,2.03,0.0,-0.31,0.0,-0.23,0.0,1.213970505,0.0,0.0,5.0,0
-0.56,51.67,-6.89,0.0,0.35,0.2,4.9165,0.0,0.0,1.34,0.0,0.0,0.0,-0.35,0.0,0.455016073,0.0,0.0,0.0,1
0.89,54.0,0.0,0.25,-0.08,1.0,72.4997,0.0,0.0,3.7,0.0,0.54,15.0,0.9,0.0,0.78160752,1.0,0.0,0.0,0
0.05,34.15,-3.26,0.0,0.03,-0.21,52.3665,0.0,0.0,4.36,0.0,0.11,1.0,-0.18,0.0,0.0,1.0,3.0,1.0,0
-0.06,32.5,-0.05,0.5,-0.34,-0.51,4.3332,0.0,0.0,7.6,2.0,-0.84,6.0,-0.61,2.0,0.632877185,0.0,3.0,4.0,1
